Cislo;Firma;Slozka;ZDROJ_EC;CIL_STRATEGIE;Delta;Stav
6;ES;zaklad;68500;68500;0;OK
9001;EC;zaklad;129221;129221;0;OK
9003;EC;zaklad;129221;129221;0;OK
9004;EC;zaklad;129221;129221;0;OK
9005;EC;zaklad;166979;166979;0;OK
9007;EC;zaklad;129221;129221;0;OK
9010;EC;zaklad;129221;129221;0;OK
9017;ES;premie;11000;11000;0;OK
9017;ES;vedeni_lidi;11000;11000;0;OK
9017;ES;zaklad;95000;95000;0;OK
9019;EC;zaklad;129221;129221;0;OK
9029;EC;zaklad;129221;129221;0;OK
9030;ES;zaklad;60000;60000;0;OK
9033;EC;zaklad;129221;129221;0;OK
9035;ES;zaklad;108010;108010;0;OK
9037;EC;zaklad;50000;50000;0;OK
9103;ES;zaklad;90000;90000;0;OK
9104;EC;zaklad;137836;137836;0;OK
